Item_Name,Hero_Name,Item_Type
Pauldron of the Mage Abolisher,Anti-Mage,Equipment
Shoulder Plate of the Fervent Conscript,Anti-Mage,Equipment
Shoulders of the Survivor,Anti-Mage,Equipment
Shoulders of the Witch Hunter,Anti-Mage,Equipment
Shoulders of Tustakuri,Anti-Mage,Equipment
Spellbreaker of Yoskreth,Anti-Mage,Equipment
Words of the Awakened,Anti-Mage,Equipment
Wraps of Broken Scale,Anti-Mage,Equipment
Acolyte of Vengeance Armor,Anti-Mage,Equipment
Adornment of the Clergy Ascetic,Anti-Mage,Equipment
Armor of Broken Scale,Anti-Mage,Equipment
Armor of the Fervent Conscript,Anti-Mage,Equipment
Armor of the Mage Slayer,Anti-Mage,Equipment
Armor of the Witch Hunter,Anti-Mage,Equipment
Golden Origins of Faith,Anti-Mage,Equipment
Nomad's Shelter,Anti-Mage,Equipment
Oathbound Defiant Armor,Anti-Mage,Equipment
Origins of Faith,Anti-Mage,Equipment
Pauldrons of the Shifting Sorcerer,Anti-Mage,Equipment
Pauldrons of Tustakuri,Anti-Mage,Equipment
Sash of Yoskreth,Anti-Mage,Equipment
Shroud of the Awakened,Anti-Mage,Equipment
Tunic of the Survivor,Anti-Mage,Equipment
Vest of the Mage Abolisher,Anti-Mage,Equipment
Acolyte of Vengeance Belt,Anti-Mage,Equipment
Belt of Broken Scale,Anti-Mage,Equipment
Belt of the Fervent Conscript,Anti-Mage,Equipment
Belt of the Survivor,Anti-Mage,Equipment
Belt of the Witch Hunter,Anti-Mage,Equipment
Belt of Tustakuri,Anti-Mage,Equipment
Belt of Yoskreth,Anti-Mage,Equipment
Cloth of the Clergy Ascetic,Anti-Mage,Equipment
Crest of the Shifting Sorcerer,Anti-Mage,Equipment
Leggings of the Awakened,Anti-Mage,Equipment
Oathbound Defiant Belt,Anti-Mage,Equipment
Sash of the Mage Abolisher,Anti-Mage,Equipment
Skirt of the Mage Slayer,Anti-Mage,Equipment
Acolyte of Vengeance Bracers,Anti-Mage,Equipment
Bracer of the Mage Slayer,Anti-Mage,Equipment
Bracers of Broken Scale,Anti-Mage,Equipment
Bracers of the Awakened,Anti-Mage,Equipment
Bracers of the Clergy Ascetic,Anti-Mage,Equipment
Bracers of the Fervent Conscript,Anti-Mage,Equipment
Bracers of the Mage Abolisher,Anti-Mage,Equipment
Bracers of the Shifting Sorcerer,Anti-Mage,Equipment
Bracers of the Survivor,Anti-Mage,Equipment
Bracers of the Witch Hunter,Anti-Mage,Equipment
Bracers of Tustakuri,Anti-Mage,Equipment
Bracers of Yoskreth,Anti-Mage,Equipment
Nomad's Guards,Anti-Mage,Equipment
Oathbound Defiant Bracers,Anti-Mage,Equipment
Taunt: The Magic Ends Here,Anti-Mage,Equipment
Acolyte of Vengeance Loading Screen,Anti-Mage,Gear
Broken Scale Loading Screen,Anti-Mage,Gear
Fall 2016 Battle Pass Loading Screen III,Anti-Mage,Gear
Legacy of the Awakened,Anti-Mage,Gear
Loading Screen of the Fervent Conscript,Anti-Mage,Gear
Loading Screen of the Survivor,Anti-Mage,Gear
Mage Abolisher Loading Screen,Anti-Mage,Gear
Mini Heroes Loading Screen,Anti-Mage,Gear
The Witch Hunter Loading Screen,Anti-Mage,Gear
Axe of Phractos,Axe,Equipment
Axe of the Enduring Conscript,Axe,Equipment
Axe of the Harbinger,Axe,Equipment
Axe of the Red Conqueror,Axe,Equipment
Axe of the Shattered Vanguard,Axe,Equipment
Axe of the Snowpack Savage,Axe,Equipment
Axe of the Warboss,Axe,Equipment
Axe of the Wrathful Annihilator,Axe,Equipment
Battleaxe of the Basilisk,Axe,Equipment
Berserker's Witchslayer,Axe,Equipment
Blood Chaser,Axe,Equipment
Bloodmist Crescent Axe,Axe,Equipment
Corpsemaker,Axe,Equipment
Corruptor,Axe,Equipment
Executioner's Axe,Axe,Equipment
Forgemaster's Hammer,Axe,Equipment
Guillotine,Axe,Equipment
Half Measure,Axe,Equipment
Headhunter,Axe,Equipment
Heavy Steel Axe,Axe,Equipment
Kingslayer Axe,Axe,Equipment
Mountain Splitter,Axe,Equipment
Nightmare Blade,Axe,Equipment
Pillar of Strength,Axe,Equipment
Ragestone Axe,Axe,Equipment
Ram's Head Blade,Axe,Equipment
Reaver (Equipment),Axe,Equipment
Red General's Soul Splitter,Axe,Equipment
Red Guard,Axe,Equipment
Red Mist Reaper's Scythe,Axe,Equipment
Saberhorn's Heavy Chopper,Axe,Equipment
Skullsplitter Axe,Axe,Equipment
Supreme Axe of the Warboss,Axe,Equipment
Sylnashar the Winged Axe,Axe,Equipment
Vindicator,Axe,Equipment
Wyvernguard Edge,Axe,Equipment
Beard of the Enduring Conscript,Axe,Equipment
Beard of the Snowpack Savage,Axe,Equipment
Berserker's Helm,Axe,Equipment
Berserker's Nethersteel Barbute,Axe,Equipment
Bloodmist Helm,Axe,Equipment
Demon Blood Helm,Axe,Equipment
Edgebearer's Helm,Axe,Equipment
Executioner's Hood,Axe,Equipment
Forgemaster's Mask,Axe,Equipment
Helm of the Harbinger,Axe,Equipment
Helm of the Red Conqueror,Axe,Equipment
Helm of the Shattered Vanguard,Axe,Equipment
Hood of the Wrathful Annihilator,Axe,Equipment
Mask of the Ram's Head,Axe,Equipment
Mask of the Warboss,Axe,Equipment
Proof of Courage,Axe,Equipment
Rampant Outrage,Axe,Equipment
Red Mist Reaper's Mask,Axe,Equipment
Saberhorn's Helm,Axe,Equipment
Stone Helmet,Axe,Equipment
Supreme Mask of the Warboss,Axe,Equipment
Armor of the Enduring Conscript,Axe,Equipment
Armor of the Snowpack Savage,Axe,Equipment
Armor of the Wrathful Annihilator,Axe,Equipment
Berserker's Pauldron,Axe,Equipment
Bloodmist Pauldrons,Axe,Equipment
Demon Blood Armor,Axe,Equipment
Executioner's Cape,Axe,Equipment
Forgemaster's Armlet,Axe,Equipment
Heavy Steel Shoulder,Axe,Equipment
Molten Claw,Axe,Equipment
Pauldron of the Harbinger,Axe,Equipment
Pauldron of the Ram's Head,Axe,Equipment
Pauldron of the Red Conqueror,Axe,Equipment
Pauldrons of the Shattered Vanguard,Axe,Equipment
Pauldrons of the Warboss,Axe,Equipment
Red Mist Reaper's Shawl,Axe,Equipment
Saberhorn's Pauldron,Axe,Equipment
Stone Guard,Axe,Equipment
Supreme Pauldrons of the Warboss,Axe,Equipment
Belt of the Enduring Conscript,Axe,Equipment
Belt of the Harbinger,Axe,Equipment
Belt of the Ram's Head,Axe,Equipment
Belt of the Shattered Vanguard,Axe,Equipment
Belt of the Snowpack Savage,Axe,Equipment
Belt of the Warboss,Axe,Equipment
Belt of the Wrathful Annihilator,Axe,Equipment
Berserker's Belt,Axe,Equipment
Bloodmist Belt,Axe,Equipment
Demon Blood Guard,Axe,Equipment
Executioner's Trophies,Axe,Equipment
Forgemaster's Apron,Axe,Equipment
Heavy Steel Belt,Axe,Equipment
Little Blink Dagger,Axe,Equipment
Red Mist Reaper's Belt,Axe,Equipment
Saberhorn's Belt,Axe,Equipment
Stone Loins,Axe,Equipment
Supreme Belt of the Warboss,Axe,Equipment
Tassets of the Red Conqueror,Axe,Equipment
Arm Guard of the Ram's Head,Axe,Equipment
Bracer of the Enduring Conscript,Axe,Equipment
Bracers of the Shattered Vanguard,Axe,Equipment
Bracers of the Warboss,Axe,Equipment
Girdle of the Harbinger,Axe,Equipment
Guard of the Red Mist,Axe,Equipment
Horns of the Wrathful Annihilator,Axe,Equipment
Mantle of the Cinder Baron,Axe,Equipment
Prize of the Snowpack Savage,Axe,Equipment
Red Mist Reaper's Tattoos,Axe,Equipment
Supreme Bracers of the Warboss,Axe,Equipment
Taunt: Come and Get It!,Axe,Equipment
Announcer: Axe,Axe,Gear
Armor of the Shattered Vanguard Loading Screen,Axe,Gear
Black Orc Warboss Loading Screen,Axe,Gear
Good Day Sir,Axe,Gear
Great Sage's Reckoning Loading Screen,Axe,Gear
Harbinger of War Loading Screen,Axe,Gear
Loading Screen of the Snowpack Savage,Axe,Gear
Mini Heroes Loading Screen,Axe,Gear
Stormcrafter's Assault,Axe,Gear
The Ram's Head Armaments Loading Screen,Axe,Gear
Three Heroes Loading Screen,Axe,Gear
Wrathful Annihilator Loading Screen,Axe,Gear
Dragonfish Sceptre,Crystal_Maiden,Equipment
Eul's Scepter of Divinity (Equipment),Crystal_Maiden,Equipment
Force Staff (Equipment),Crystal_Maiden,Equipment
Frost Owl's Beacon,Crystal_Maiden,Equipment
Frostiron Sorceress Staff,Crystal_Maiden,Equipment
North Star,Crystal_Maiden,Equipment
Scepter of the Icebound Floret,Crystal_Maiden,Equipment
Sceptre of Icewrack,Crystal_Maiden,Equipment
Shards of the Crystalline Comet,Crystal_Maiden,Equipment
Snowdrop Staff,Crystal_Maiden,Equipment
Staff of the Blueheart Sovereign,Crystal_Maiden,Equipment
Staff of the Crystalline Queen,Crystal_Maiden,Equipment
Staff of the Frozen Feather,Crystal_Maiden,Equipment
Staff of the Glacial Magnolia,Crystal_Maiden,Equipment
Staff of the Glacier Duster,Crystal_Maiden,Equipment
Staff of the Lumini Polare,Crystal_Maiden,Equipment
Staff of the Winterbringer,Crystal_Maiden,Equipment
Staff of Winter's Warden,Crystal_Maiden,Equipment
White Sentry,Crystal_Maiden,Equipment
Wizardry Staff of the North,Crystal_Maiden,Equipment
Blueheart Tails,Crystal_Maiden,Equipment
Brooch of the Icebound Floret,Crystal_Maiden,Equipment
Crown of the Blueheart Sovereign,Crystal_Maiden,Equipment
Crown of the Tundra Warden,Crystal_Maiden,Equipment
Frostiron Sorceress Brooch,Crystal_Maiden,Equipment
Helm of Winter's Warden,Crystal_Maiden,Equipment
Hood of the Frozen Feather,Crystal_Maiden,Equipment
Ice Capped Hood of the North,Crystal_Maiden,Equipment
Luscious Locks,Crystal_Maiden,Equipment
Snowdrop Hood,Crystal_Maiden,Equipment
Style of the Glacial Magnolia,Crystal_Maiden,Equipment
Style of the Glacier Duster,Crystal_Maiden,Equipment
Style of the Lumini Polare,Crystal_Maiden,Equipment
Style of the Winterbringer,Crystal_Maiden,Equipment
Tiara of the Crystalline Queen,Crystal_Maiden,Equipment
Ties of the Crystalline Comet,Crystal_Maiden,Equipment
Winter Solstice Fashion,Crystal_Maiden,Equipment
Wolfsden Gift,Crystal_Maiden,Equipment
Yulsaria's Glacier,Crystal_Maiden,Equipment
Frostiron Sorceress Pads,Crystal_Maiden,Equipment
Guard of the Tundra Warden,Crystal_Maiden,Equipment
Kimono of the Icebound Floret,Crystal_Maiden,Equipment
Mantle of the Blueheart Sovereign,Crystal_Maiden,Equipment
Mantle of the Crystalline Queen,Crystal_Maiden,Equipment
Mantle of the Glacial Magnolia,Crystal_Maiden,Equipment
Mantle of Winter's Warden,Crystal_Maiden,Equipment
Pauldrons of the Frozen Feather,Crystal_Maiden,Equipment
Shawl of the Glacier Duster,Crystal_Maiden,Equipment
Shawl of the Lumini Polare,Crystal_Maiden,Equipment
Shawl of the Winterbringer,Crystal_Maiden,Equipment
Shelter of the Crystalline Comet,Crystal_Maiden,Equipment
Shoulders of the North,Crystal_Maiden,Equipment
Snowdrop Mantle,Crystal_Maiden,Equipment
Yulsaria's Mantle,Crystal_Maiden,Equipment
Cape of the Blueheart Sovereign,Crystal_Maiden,Equipment
Cape of the Crystalline Comet,Crystal_Maiden,Equipment
Cape of the Crystalline Queen,Crystal_Maiden,Equipment
Cape of the Frozen Feather,Crystal_Maiden,Equipment
Cape of the Glacial Magnolia,Crystal_Maiden,Equipment
Cape of the Glacier Duster,Crystal_Maiden,Equipment
Cape of the Lumini Polare,Crystal_Maiden,Equipment
Cape of the Winterbringer,Crystal_Maiden,Equipment
Frost Avalanche,Crystal_Maiden,Equipment
Frostbitten Cloak of the North,Crystal_Maiden,Equipment
Frostiron Sorceress Cape,Crystal_Maiden,Equipment
Ribbon of the Icebound Floret,Crystal_Maiden,Equipment
Skirt of Winter's Warden,Crystal_Maiden,Equipment
Snowdrop Tassels,Crystal_Maiden,Equipment
Tails of the Tundra Warden,Crystal_Maiden,Equipment
Arctic Bracers of the North,Crystal_Maiden,Equipment
Arms of Winter's Warden,Crystal_Maiden,Equipment
Bracers of the Blueheart Sovereign,Crystal_Maiden,Equipment
Bracers of the Crystalline Queen,Crystal_Maiden,Equipment
Bracers of the Frozen Feather,Crystal_Maiden,Equipment
Cuffs of the Crystalline Comet,Crystal_Maiden,Equipment
Frostiron Sorceress Cuffs,Crystal_Maiden,Equipment
Gauntlets of the Tundra Warden,Crystal_Maiden,Equipment
Sleeves of the Glacial Magnolia,Crystal_Maiden,Equipment
Sleeves of the Icebound Floret,Crystal_Maiden,Equipment
Sleeves of the Lumini Polare,Crystal_Maiden,Equipment
Sleeves of the Winterbringer,Crystal_Maiden,Equipment
Snowdrop Mittens,Crystal_Maiden,Equipment
Wraps of the Glacier Duster,Crystal_Maiden,Equipment
Taunt: Beautiful Snowangel,Crystal_Maiden,Equipment
Taunt: Making Friends,Crystal_Maiden,Equipment
Kinetic: Impatient Maiden,Crystal_Maiden,Equipment
Kinetic: Yulsaria's Glacier,Crystal_Maiden,Equipment
Blueheart Spotter,Crystal_Maiden,Gear
DAC 2015 Crystal Maiden Cursor Pack,Crystal_Maiden,Gear
Announcer: Crystal Maiden,Crystal_Maiden,Gear
Ancient Rhythm Loading Screen,Crystal_Maiden,Gear
Ascendant Crystal Maiden Loading Screen,Crystal_Maiden,Gear
Blueheart Maiden Loading Screen,Crystal_Maiden,Gear
Blueheart Sovereign Loading Screen,Crystal_Maiden,Gear
Charge of the Tundra Warden Loading Screen,Crystal_Maiden,Gear
Clash of Heroes,Crystal_Maiden,Gear
Crystalline Comet Loading Screen,Crystal_Maiden,Gear
Glacial Magnolia Loading Screen,Crystal_Maiden,Gear
Icebound Floret Loading Screen,Crystal_Maiden,Gear
Lady of the Lumini Polare Loading Screen,Crystal_Maiden,Gear
Let's Race Loading Screen,Crystal_Maiden,Gear
Mini Heroes Loading Screen,Crystal_Maiden,Gear
Three Heroes Loading Screen,Crystal_Maiden,Gear
Winterbringer Loading Screen,Crystal_Maiden,Gear
Ancestral Medicine Stick,Dazzle,Equipment
Darkclaw Emissary Staff,Dazzle,Equipment
Dazolator,Dazzle,Equipment
Graveheart Staff,Dazzle,Equipment
Great Pipe of the Father Spirits,Dazzle,Equipment
Pipe of Dezun,Dazzle,Equipment
Staff of the Yuwipi,Dazzle,Equipment
The Acolyte Priest's Bonesaw,Dazzle,Equipment
Venom-Herb Caduceus,Dazzle,Equipment
Acolyte Priest's Headdress,Dazzle,Equipment
Ancestral Cloak,Dazzle,Equipment
Darkclaw Emissary Cowl,Dazzle,Equipment
Headdress of the Father Spirits,Dazzle,Equipment
Headdress of the Yuwipi,Dazzle,Equipment
Shadow Flame Headdress,Dazzle,Equipment
Acolyte Priest's Robes,Dazzle,Equipment
Ancestral Dress,Dazzle,Equipment
Bonedress of the Yuwipi,Dazzle,Equipment
Darkclaw Emissary Dress,Dazzle,Equipment
Ritual Skirt of the Father Spirits,Dazzle,Equipment
Shadow Flame Dress,Dazzle,Equipment
Acolyte Priest's Fur,Dazzle,Equipment
Ancestral Headdress,Dazzle,Equipment
Darkclaw Emissary Cloak,Dazzle,Equipment
Golden Nothlic Burden,Dazzle,Equipment
Nothlic Burden,Dazzle,Equipment
Nothlic Burden of the Crimson Witness,Dazzle,Equipment
Shadow Flame Guards,Dazzle,Equipment
Trolltooth Necklace,Dazzle,Equipment
Acolyte Priest's Guard,Dazzle,Equipment
Ancestral Arm Wrap,Dazzle,Equipment
Band of Summoning,Dazzle,Equipment
Darkclaw Emissary Arms,Dazzle,Equipment
Fetish of the Father Spirits,Dazzle,Equipment
Shadow Flame Arms,Dazzle,Equipment
Darkclaw Emissary Loading Screen,Dazzle,Gear
Dazzle Yuwipi,Dazzle,Gear
Mini Heroes Loading Screen,Dazzle,Gear
Shadow Flame Loading Screen,Dazzle,Gear
Winter 2016 Loading Screen III,Dazzle,Gear
Algid Legacy,Drow_Ranger,Equipment
Bow of the Black Wind Raven,Drow_Ranger,Equipment
Bow of the Crystal Caves,Drow_Ranger,Equipment
Bow of the Eldwurm's Touch,Drow_Ranger,Equipment
Bow of the Frostborne Wayfarer,Drow_Ranger,Equipment
Bow of the Frostfangs,Drow_Ranger,Equipment
Bow of the Howling Wind,Drow_Ranger,Equipment
Bow of the Lone Traveler,Drow_Ranger,Equipment
Bow of the Master Thief,Drow_Ranger,Equipment
Bow of the Shadowcat,Drow_Ranger,Equipment
Bow of the Winged Bolt,Drow_Ranger,Equipment
Bow of the Wyvern Skin,Drow_Ranger,Equipment
Cold Case Bow,Drow_Ranger,Equipment
Death Shadow Bow,Drow_Ranger,Equipment
Great Grey Owl Bow,Drow_Ranger,Equipment
Ice Burst Bow,Drow_Ranger,Equipment
Ice Crystal Bow,Drow_Ranger,Equipment
Jewel of the Forest Bow,Drow_Ranger,Equipment
Jeweled Longbow,Drow_Ranger,Equipment
Longbow of the Boreal Watch,Drow_Ranger,Equipment
Monarch Bow,Drow_Ranger,Equipment
Pincher Bow,Drow_Ranger,Equipment
Sentinel Bow,Drow_Ranger,Equipment
Shade of the Ranger,Drow_Ranger,Equipment
Sylvan Guard's Bow,Drow_Ranger,Equipment
Algid Falcon Quiver,Drow_Ranger,Equipment
Death Shadow Quiver,Drow_Ranger,Equipment
Quiver of the Black Wind Raven,Drow_Ranger,Equipment
Quiver of the Boreal Watch,Drow_Ranger,Equipment
Quiver of the Eldwurm's Touch,Drow_Ranger,Equipment
Quiver of the Frostborne Wayfarer,Drow_Ranger,Equipment
Quiver of the Master Thief,Drow_Ranger,Equipment
Quiver of the Shadowcat,Drow_Ranger,Equipment
Quiver of the Winged Bolt,Drow_Ranger,Equipment
Quiver of the Wyvern Skin,Drow_Ranger,Equipment
Sentinel Quiver,Drow_Ranger,Equipment
Sylvan Guard's Quiver,Drow_Ranger,Equipment
Algid Falcon Helm,Drow_Ranger,Equipment
Cowl of the Boreal Watch,Drow_Ranger,Equipment
Cowl of the Wyvern Skin,Drow_Ranger,Equipment
Dark Ranger's Headdress,Drow_Ranger,Equipment
Death Shadow Cowl,Drow_Ranger,Equipment
Frost Spikes,Drow_Ranger,Equipment
Headband of the Frostborne Wayfarer,Drow_Ranger,Equipment
Helmet of the Eldwurm's Touch,Drow_Ranger,Equipment
Hood of the Black Wind Raven,Drow_Ranger,Equipment
Hood of the Master Thief,Drow_Ranger,Equipment
Jewel of the Forest Scarf,Drow_Ranger,Equipment
Lone Traveler's Beret,Drow_Ranger,Equipment
Loner's Vanity,Drow_Ranger,Equipment
Mania's Mask,Drow_Ranger,Equipment
Mask of the Winged Bolt,Drow_Ranger,Equipment
Sentinel Hood,Drow_Ranger,Equipment
Sylvan Guard's Hair,Drow_Ranger,Equipment
Trophy of the Shadowcat,Drow_Ranger,Equipment
Algid Falcon Cape,Drow_Ranger,Equipment
Cape of the Black Wind Raven,Drow_Ranger,Equipment
Cape of the Eldwurm's Touch,Drow_Ranger,Equipment
Cape of the Frostborne Wayfarer,Drow_Ranger,Equipment
Cape of the Winged Bolt,Drow_Ranger,Equipment
Cape of the Wyvern Skin,Drow_Ranger,Equipment
Cloak of the Boreal Watch,Drow_Ranger,Equipment
Cloak of the Master Thief,Drow_Ranger,Equipment
Death Shadow Cape,Drow_Ranger,Equipment
Golden Silent Wake,Drow_Ranger,Equipment
Ice Burst Cloak,Drow_Ranger,Equipment
Jewel of the Forest Cape,Drow_Ranger,Equipment
Pelt of the Shadowcat,Drow_Ranger,Equipment
Sentinel Cloak,Drow_Ranger,Equipment
Silent Wake,Drow_Ranger,Equipment
Silent Wake of the Crimson Witness,Drow_Ranger,Equipment
Steamcape,Drow_Ranger,Equipment
Sylvan Guard's Cape,Drow_Ranger,Equipment
Algid Falcon Pauldron,Drow_Ranger,Equipment
Coat of the Frostborne Wayfarer,Drow_Ranger,Equipment
Corset of the Master Thief,Drow_Ranger,Equipment
Death Shadow Mantle,Drow_Ranger,Equipment
Furstole of the Shadowcat,Drow_Ranger,Equipment
Guards of the Winged Bolt,Drow_Ranger,Equipment
Jewel of the Forest Pauldrons,Drow_Ranger,Equipment
Mantle of the Wyvern Skin,Drow_Ranger,Equipment
Pauldrons of the Boreal Watch,Drow_Ranger,Equipment
Pauldrons of the Eldwurm's Touch,Drow_Ranger,Equipment
Sentinel Shoulders,Drow_Ranger,Equipment
Shoulders of the Black Wind Raven,Drow_Ranger,Equipment
Sylvan Guard's Dress Armor,Drow_Ranger,Equipment
Algid Falcon Greaves,Drow_Ranger,Equipment
Boots of the Eldwurm's Touch,Drow_Ranger,Equipment
Boots of the Frostborne Wayfarer,Drow_Ranger,Equipment
Boots of the Master Thief,Drow_Ranger,Equipment
Boots of the Winged Bolt,Drow_Ranger,Equipment
Boots of the Wyvern Skin,Drow_Ranger,Equipment
Death Shadow Boots,Drow_Ranger,Equipment
Gaiters of the Shadowcat,Drow_Ranger,Equipment
Ice Burst Greaves,Drow_Ranger,Equipment
Jewel of the Forest Boots,Drow_Ranger,Equipment
Leggings of the Black Wind Raven,Drow_Ranger,Equipment
Legplates of the Boreal Watch,Drow_Ranger,Equipment
Sentinel Legs,Drow_Ranger,Equipment
Sylvan Guard's Boots,Drow_Ranger,Equipment
Algid Falcon Bracer,Drow_Ranger,Equipment
Arms of the Black Wind Raven,Drow_Ranger,Equipment
Bracers of the Eldwurm's Touch,Drow_Ranger,Equipment
Bracers of the Frostborne Wayfarer,Drow_Ranger,Equipment
Bracers of the Winged Bolt,Drow_Ranger,Equipment
Bracers of the Wyvern Skin,Drow_Ranger,Equipment
Death Shadow Bracers,Drow_Ranger,Equipment
Gauntlets of the Boreal Watch,Drow_Ranger,Equipment
Gloves of the Master Thief,Drow_Ranger,Equipment
Ice Burst Bracers,Drow_Ranger,Equipment
Jewel of the Forest Gloves,Drow_Ranger,Equipment
Paws of the Shadowcat,Drow_Ranger,Equipment
Sentinel Gloves,Drow_Ranger,Equipment
Sylvan Guard's Cuffs,Drow_Ranger,Equipment
Taunt: Keep an Ear Out,Drow_Ranger,Equipment
Algid Falcon Loading Screen,Drow_Ranger,Gear
Eldwurm's Touch Loading Screen,Drow_Ranger,Gear
Mini Heroes Loading Screen,Drow_Ranger,Gear
The Boreal Watch-Reforged Loading Screen,Drow_Ranger,Gear
The Frostborne Wayfarer Loading Screen,Drow_Ranger,Gear
Traxex the Drow Ranger,Drow_Ranger,Gear
Winged Bolt Loading Screen,Drow_Ranger,Gear
Wyvern Skin Loading Screen,Drow_Ranger,Gear
Core of Stoneshard Majesty,Earthshaker,Equipment
Dragon Horse Spirit Totem,Earthshaker,Equipment
Eclipse Monolith,Earthshaker,Equipment
Golden Gravelmaw,Earthshaker,Equipment
Golden Reel Guardian Totem,Earthshaker,Equipment
Gravelmaw,Earthshaker,Equipment
Tine of the Behemoth,Earthshaker,Equipment
Toad Totem,Earthshaker,Equipment
Totem of Deep Magma,Earthshaker,Equipment
Totem of Tectonic Implications,Earthshaker,Equipment
Totem of the Forest Hermit,Earthshaker,Equipment
Totem of the Red Mountain,Earthshaker,Equipment
Totem of the Samurai Soul,Earthshaker,Equipment
Golden Reel Guardian Helmet,Earthshaker,Equipment
Great Helm of the Behemoth,Earthshaker,Equipment
Head of the Forest Hermit,Earthshaker,Equipment
Helm of Impasse,Earthshaker,Equipment
Helm of Tectonic Implications,Earthshaker,Equipment
Helm of the Red Mountain,Earthshaker,Equipment
Helmet of the Samurai Soul,Earthshaker,Equipment
Horns of Deep Magma,Earthshaker,Equipment
Mask of the Crimson Beast,Earthshaker,Equipment
Stoneforged Horns,Earthshaker,Equipment
Stoneshard Crown,Earthshaker,Equipment
Belt of Deep Magma,Earthshaker,Equipment
Belt of Tectonic Implications,Earthshaker,Equipment
Belt of the Behemoth,Earthshaker,Equipment
Belt of the Crimson Beast,Earthshaker,Equipment
Belt of the Forest Hermit,Earthshaker,Equipment
Belt of the Red Mountain,Earthshaker,Equipment
Belt of the Samurai Soul,Earthshaker,Equipment
Golden Reel Guardian Belt,Earthshaker,Equipment
Stoneshard Belt,Earthshaker,Equipment
Arms of Deep Magma,Earthshaker,Equipment
Bracers of Tectonic Implications,Earthshaker,Equipment
Bracers of the Behemoth,Earthshaker,Equipment
Bracers of the Cavern Luminar,Earthshaker,Equipment
Bracers of the Crimson Beast,Earthshaker,Equipment
Bracers of the Samurai Soul,Earthshaker,Equipment
Gauntlets of the Red Mountain,Earthshaker,Equipment
Golden Reel Guardian Arms,Earthshaker,Equipment
Shoulders of the Forest Hermit,Earthshaker,Equipment
Stoneshard Bracers,Earthshaker,Equipment
Tine of the Behemoth Cursor Pack,Earthshaker,Gear
Crimson Beast Loading Screen,Earthshaker,Gear
Let's Race Loading Screen,Earthshaker,Gear
Loading Screen of Deep Magma,Earthshaker,Gear
